uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
8009	Rubke	54	17	6	3	2	0	10/23/2007	07/29/2010	1011	62	20	0.06132542037586548
5504	OliverH	32	32	12	12	17	10	12/06/2010	09/19/2011	287	61	54	0.21254355400696864
83876	BurnyB	0	0	0	0	61	0	03/31/2011	08/12/2011	135	61	0	0.45185185185185184
7925	anneb	47	31	14	6	0	0	10/28/2009	11/15/2010	383	61	37	0.15926892950391644
140991	wodahl	37	37	23	15	0	0	07/03/2011	07/04/2011	2	60	52	30
120715	ruhri2010	0	0	0	0	60	0	11/16/2009	03/16/2011	486	60	0	0.12345679012345678
138053	pauliusz	38	38	22	1	0	0	02/28/2010	02/28/2010	1	60	39	60
313569	bduijnen	43	25	16	6	0	0	07/16/2010	07/31/2010	15	59	31	3.933333333333333
323782	Peter Boersma	58	5	1	0	0	0	07/25/2010	07/25/2010	1	59	5	59
84754	eduardo_dias	49	34	7	3	1	1	01/12/2009	08/09/2010	574	57	38	0.09930313588850175
6367	mackerski	45	24	12	6	0	0	06/29/2009	07/24/2009	25	57	30	2.28
37137	Derick Rethans	36	36	19	13	1	1	05/09/2011	09/11/2011	125	56	50	0.448
35112	Jozzy	8	4	9	2	39	0	02/25/2010	04/07/2011	407	56	6	0.1375921375921376
521467	telieven	45	40	10	5	0	0	09/13/2011	09/13/2011	1	55	45	55
26299	uboot	54	10	0	0	0	0	04/02/2008	04/03/2008	1	54	10	54
81497	RaffyO	45	15	9	0	0	0	07/09/2009	07/12/2009	3	54	15	18
315679	ErikMin	32	17	20	11	0	0	07/08/2010	07/10/2010	3	52	28	17.333333333333332
28052	CvR	50	0	0	0	0	0	03/02/2008	03/22/2008	20	50	0	2.5
36382	clgowa	42	7	7	1	0	0	08/16/2009	12/09/2009	115	49	8	0.4260869565217391
5080	vassloff	49	49	0	0	0	0	06/11/2007	06/13/2007	3	49	49	16.333333333333332
145099	edwin_wisse	20	16	29	11	0	0	07/09/2010	07/28/2011	384	49	27	0.12760416666666666
166882	wojciech mlynarczyk	32	6	16	1	0	0	09/03/2009	09/03/2009	1	48	7	48
47892	richlv	8	1	3	3	36	0	09/17/2008	12/19/2010	824	47	4	0.05703883495145631
325416	Sammelmuetze	44	44	2	1	0	0	10/07/2010	10/07/2010	1	46	45	46
8259	Myckel	32	1	14	0	0	0	07/28/2007	07/28/2007	1	46	1	46
25641	Geert Schuring	43	8	2	0	0	0	07/10/2008	08/31/2008	53	45	8	0.8490566037735849
56882	seird	26	4	18	1	0	0	08/04/2008	08/06/2008	2	44	5	22
203114	Jeroen Muris	16	13	1	0	27	1	02/12/2010	05/01/2011	443	44	14	0.09932279909706546
9739	landloper	37	0	7	0	0	0	08/08/2007	08/16/2007	8	44	0	5.5
410997	jobvdg	29	14	13	7	1	0	02/21/2011	02/23/2011	2	43	21	21.5
6270	mikes	0	0	0	0	43	0	09/23/2008	03/21/2010	545	43	0	0.07889908256880734
45985	janrikard	0	0	0	0	42	0	10/20/2009	05/13/2010	205	42	0	0.2048780487804878
6975	ulfl	28	3	14	3	0	0	02/16/2008	12/23/2009	677	42	6	0.0620384047267356
109925	WanMil	2	2	6	4	34	0	09/06/2009	05/09/2010	246	42	6	0.17073170731707318
343036	kocr	0	0	0	0	42	0	10/27/2010	11/24/2010	28	42	0	1.5
370275	DJonker	25	17	15	5	0	0	12/30/2010	12/30/2010	1	40	22	40
73507	thom3	33	4	7	4	0	0	02/25/2010	04/03/2010	38	40	8	1.0526315789473684
16290	MichaelK	16	9	23	8	0	0	07/10/2009	07/14/2009	4	39	17	9.75
383309	AtonX	31	31	8	8	0	0	07/02/2011	07/02/2011	1	39	39	39
192896	vussiewussie	17	17	2	1	19	0	06/19/2010	08/04/2010	46	38	18	0.8260869565217391
77947	Roman Guy	0	0	0	0	38	0	02/11/2009	09/13/2010	580	38	0	0.06551724137931035
94936	Arno Peters	34	2	4	0	0	0	10/26/2009	03/06/2011	497	38	2	0.07645875251509054
8619	cetest	23	1	2	1	13	1	10/27/2007	11/25/2010	1126	38	3	0.03374777975133215
39504	malenki	1	1	36	24	0	0	07/08/2009	07/08/2009	1	37	25	37
64159	Quelbs	28	9	9	1	0	0	02/04/2009	02/05/2009	1	37	10	37
125840	Jobw	15	7	22	2	0	0	05/18/2009	06/07/2011	750	37	9	0.04933333333333333
106325	Frank Visser	0	0	0	0	37	0	03/15/2009	03/17/2009	2	37	0	18.5
116044	berndw	0	0	0	0	36	1	01/10/2010	09/09/2011	607	36	1	0.05930807248764415
