uid	username	nodes	ways	relations	percentile
355242	Bryce C Nesbitt	40	0	0	0.996602721592825
473471	NE3	4	34	0	0.9966823125789365
333071	eagleone	35	3	0	0.9967619035650478
63375	Divjo	38	0	0	0.9968414945511592
27734	Nina Taurich	29	7	0	0.9969168965380015
3516	BiIbo	33	0	0	0.9969860150259404
127671	higante	28	4	0	0.9970530390142447
513084	Dave Shepard	32	0	0	0.997120063002549
301882	Dick Heiser	30	1	0	0.9971849924912188
345484	eddtsk	30	0	0	0.9972478274802541
506808	resultsman	24	5	0	0.9973085679696548
475351	Janimator	22	7	0	0.9973693084590557
290680	wheelmap_visitor	29	0	0	0.9974300489484564
30521	dufekin	4	24	0	0.9974886949382228
5735	ColinMarquardt	28	0	0	0.997547340927989
387411	aldude_map	27	0	0	0.9976038924181208
9580	Groundspeak	23	3	0	0.9976583494086181
159153	Ashersilb	23	3	0	0.9977128063991153
153918	norway	23	2	0	0.997765168889978
49775	Flying Saucer	25	0	0	0.9978175313808407
198584	DavyDanger	25	0	0	0.9978698938717036
301956	harris	24	0	0	0.9979201618629318
6975	ulfl	11	13	0	0.99797042985416
354432	getpost	13	10	0	0.9980186033457538
6817	lurker	19	1	0	0.9980604933384439
368308	mr_engineer	19	0	0	0.9981002888314996
125718	Fabi2	19	0	0	0.9981400843245553
46220	Ethan O'Connor	17	1	0	0.9981777853179764
415382	Steve-D	17	1	0	0.9982154863113977
225823	joelinton	15	2	0	0.9982510928051843
222175	teamsantos	16	0	0	0.9982846047993365
112530	Caballista	14	1	0	0.9983160222938541
31231	Andre68	14	1	0	0.9983474397883717
65631	Dominik Hurnaus	13	2	0	0.9983788572828894
188455	dollarbell	15	0	0	0.9984102747774071
435112	metodi	15	0	0	0.9984416922719247
55201	rickycourtney	13	1	0	0.9984710152668078
407147	theguywhotweets	14	0	0	0.9985003382616909
198317	edhenry70	13	1	0	0.9985296612565742
128186	malcolmh	13	0	0	0.9985568897518228
238349	evil saltine	9	4	0	0.9985841182470714
9112	donsmith	11	2	0	0.99861134674232
166129	BugBuster	6	7	0	0.9986385752375686
88347	malcolmfrost	13	0	0	0.9986658037328172
119881	Clorox	8	5	0	0.9986930322280658
456814	googoomas	12	1	0	0.9987202607233145
85511	Matt Maxon	12	0	0	0.9987453947189286
458789	marco ghigos	9	3	0	0.9987705287145427
69628	vsandre	7	4	0	0.9987935682105223
182082	kdiep1982	11	0	0	0.9988166077065019
436769	mlinter4	9	2	0	0.9988396472024815
432227	kastur	10	1	0	0.9988626866984611
74617	JohnSmith	10	1	0	0.9988857261944408
29084	stoecker	1	9	0	0.9989066711907859
39330	chehrlic	10	0	0	0.998927616187131
18069	Claudius Henrichs	8	1	0	0.9989464666838416
2680	xylome	9	0	0	0.9989653171805521
100247	Joel Johnstone	9	0	0	0.9989841676772627
22773	christof	8	1	0	0.9990030181739733
244784	Don Ray Media	9	0	0	0.9990218686706839
302161	p84mustang	6	3	0	0.9990407191673945
107257	FrViPofm	0	8	0	0.9990574751644706
43566	anbr	5	3	0	0.9990742311615467
262310	mo0onbunny	8	0	0	0.9990909871586228
42429	FK270673	5	0	3	0.9991077431556988
